"ID (do not edit)","Content type","Element type","Source language (EN)","Target language (ZH)"
"{""contentId"":""5217aa10-c1d4-43f4-bc81-422b3587e56d"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""5217aa10-c1d4-43f4-bc81-422b3587e56d"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""5217aa10-c1d4-43f4-bc81-422b3587e56d"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","CEL.png",
"{""contentId"":""52436b74-2531-4dee-bb18-b6736cca5e5b"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h2 class=""font_0"" style=""font-size: 25px; line-height: normal; text-align: center;""><span style=""font-size:25px""><span style=""color:#FFFFFF""><span style=""font-style:normal""><span style=""font-family:space grotesk,sans-serif""><span style=""font-weight:700"">&quot;Neurodiversity&quot; is only for a subset of our population.</span></span></span></span></span></h2>","<h2 class=""font_0"" style=""font-size:25px; line-height:normal; text-align:center""><span style=""font-size:25px""><span style=""color:#FFFFFF""><span style=""font-style:normal""><span style=""font-family:space grotesk,sans-serif""><span style=""font-weight:700"">「</span></span></span></span></span><span style=""font-weight:bold""><span style=""font-style:normal""><span style=""font-family:madefor,helveticaneue,sans-serif""><span style=""color:#839F2A""><span style=""letter-spacing:normal""><span style=""font-size:26px""><a href=""https://www.facebook.com/hashtag/%E8%85%A6%E5%8A%9B%E5%A4%9A%E5%85%83%E5%8C%96?__eep__=6&amp;__cft__[0]=AZWD4e4ahAY30jKcpAZgHJ0XbZrQQFUlbQ1uSWcx8_WDgoV9H1GyzsThGwHEicgUVk7ZGOequCBcHH70XvFFRAoUPiSyEpQyqGzDjsTHRFSga-DBWvMKq88iaVfQpiTovOOe0yH5TW59Y8dHlgfqk5serDFaRjZ3GR3QGbKb5rNbkA&amp;__tn__=*NK-R"">腦力多元</a></span></span></span></span></span></span><span style=""font-size:25px""><span style=""color:#FFFFFF""><span style=""font-style:normal""><span style=""font-family:space grotesk,sans-serif""><span style=""font-weight:700"">」僅跟我們一部份的人口有關。</span></span></span></span></span></h2>"
"{""contentId"":""52ad905d-8a5c-42aa-bd12-85a0e783f810"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h1 class=""font_0"" style=""font-size:56px; line-height:1.2em; text-align:center""><span style=""text-shadow:rgba(255, 255, 255, 0.6) 1px 1px 1px, rgba(0, 0, 0, 0.6) -1px -1px 1px;""><span style=""color:#FFFFFF;""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">Our</span></span></span><br />
<span style=""font-weight: 700;"">Team</span></span></span></h1>",
"{""contentId"":""52d68423-18c4-41ed-a455-77321971b627"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">School Visit at&nbsp;</span></p>

<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">Chak Yan Centre School&nbsp;</span></p>","<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">學校參觀於</span></p><p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">澤仁中心學校</span></p>"
"{""contentId"":""52fb9892-5489-499f-8789-70c2784f2ab1"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<ul class=""font_8"">
	<li>
	<p class=""font_8"">By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture&rsquo;s contribution to sustainable development</p>
	</li>
</ul>

<p class=""font_8"">&nbsp;</p>

<ul class=""font_8"">
	<li>
	<p class=""font_8"">By 2030, build and upgrade education facilities that are child, disability, and gender sensitive and provide safe, nonviolent, inclusive, and effective learning environments for all</p>
	</li>
</ul>

<p class=""font_8"">&nbsp;</p>

<ul class=""font_8"">
	<li>
	<p class=""font_8"">By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples, and children in vulnerable situations</p>
	</li>
</ul>","<ul class=""font_8""><li><p class=""font_8"">到 2030 年，確保所有學習者獲得促進永續發展所需的知識和技能，包括透過永續發展和永續生活方式、人權、性別平等、促進和平與非暴力文化、全球公民意識和對文化多樣性以及文化對永續發展的貢獻的欣賞</p></li></ul><p class=""font_8""></p><ul class=""font_8""><li><p class=""font_8"">到 2030 年，建造和升級對兒童、殘疾和性別議題敏感的教育設施，為所有人提供安全、非暴力、包容和有效的學習環境</p></li></ul><p class=""font_8""></p><ul class=""font_8""><li><p class=""font_8"">2030年，消除教育領域的性別差距，確保弱勢群體（包括殘疾人、原住民和弱勢兒童）平等獲得各級教育和職業培訓</p></li></ul>"
"{""contentId"":""53b4d854-7c8d-411e-87bf-f376401c5122"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_80130062f54f4165bbf302c5f8acf9df~mv2.jpg","8a7c18_392d4f5441d94d88b9b6500c7c9f5121~mv2.jpg"
"{""contentId"":""53b4d854-7c8d-411e-87bf-f376401c5122"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""53b4d854-7c8d-411e-87bf-f376401c5122"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""53b4d854-7c8d-411e-87bf-f376401c5122"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","PHOTO-2023-09-28-17-57-25.jpg","照片-2023-09-28-17-57-25.jpg"
"{""contentId"":""542bba6b-7fa6-4526-9607-4b4f93479c74"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_2c2af110f1c0426aa671bf00e715b556~mv2.png","1af91d_2c2af110f1c0426aa671bf00e715b556~mv2.png"
"{""contentId"":""542bba6b-7fa6-4526-9607-4b4f93479c74"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""542bba6b-7fa6-4526-9607-4b4f93479c74"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""542bba6b-7fa6-4526-9607-4b4f93479c74"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Screen Shot 2024-06-05 at 5.06.02 PM.png","螢幕截圖 2024-06-05 下午 5.06.02.png"
"{""contentId"":""547e46a0-c082-41b9-9d2f-48625d22faa7"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">Guest Speaker for Event of</span></p>

<p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">Chuk Yan Center x HASS&nbsp;</span></p>","<p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">活動演講嘉賓</span></p><p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">竹仁中心 x HASS</span></p>"
"{""contentId"":""55f007df-ed6b-4474-89fe-0d4e6031f0a5"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_8"">The neurodiversity movement does not deny or minimize the very real difficulties that come with neurological differences.&nbsp; It recognizes that neurodivergent individuals often face significant struggles in various aspects of their lives and societal barriers that are often designed and built for neuromajorities.&nbsp; Rather than ignoring the challenges, the neurodiversity advocates for a shift in perspective and aims to reframe them within a strength-based and empowering framework.&nbsp; It encourages society to focus on the unique strengths and abilities of neurodivergent individuals, rather than solely on their deficits or difficulties.</p>

<p class=""font_8"">&nbsp;</p>

<p class=""font_8"" style=""line-height:1.6em"">Proponents of the neurodiversity movement often identify the significant societal barriers in education, employment, healthcare, and social settings and address these systematic challenges rather than coping within the deficits framework. &nbsp;</p>","<p class=""font_8"">神經多樣性運動並不否認或最小化神經差異所帶來的真正困難。  它認識到神經分歧的個體經常在生活的各個方面面臨重大鬥爭，以及通常為神經多數人設計和建立的社會障礙。  神經多樣性並沒有忽視挑戰，而是倡導視角的轉變，並旨在在基於力量和賦權的框架內重新建構它們。  它鼓勵社會關注神經分歧個體的獨特優勢和能力，而不是僅僅關注他們的缺陷或困難。</p><p class=""font_8""></p><p class=""font_8"" style=""line-height:1.6em"">神經多樣性運動的支持者經常識別教育、就業、醫療保健和社會環境中的重大社會障礙，並解決這些系統性挑戰，而不是在赤字框架內應對。</p>"
"{""contentId"":""5607605c-77a8-4bf4-96a2-3cca9c9bd07a"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h1 class=""font_0"" style=""font-size: 56px; line-height: 1.2em; text-align: center;""><span style=""text-shadow:rgba(255, 255, 255, 0.6) 1px 1px 1px, rgba(0, 0, 0, 0.6) -1px -1px 1px""><span style=""color:#FFFFFF""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">Our </span></span><br />
<span style=""letter-spacing:normal""><span style=""font-size:56px"">Approach</span></span></span></span></span></h1>","<h1 class=""font_0"" style=""font-size: 56px; line-height: 1.2em; text-align: center;""><span style=""text-shadow:rgba(255, 255, 255, 0.6) 1px 1px 1px, rgba(0, 0, 0, 0.6) -1px -1px 1px""><span style=""color:#FFFFFF""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">我們的</span></span><br><span style=""letter-spacing:normal""><span style=""font-size:56px"">方法</span></span></span></span></span></h1>"
"{""contentId"":""5658fc07-f8d9-43d7-8ca4-7b326c2654ee"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_8"" style=""font-size:16px; line-height:1.5em""><span style=""font-size:16px"">We had an in depth discussion with a small group of principals about the support system for SEN students, the practical challenges in local schools, the implementation of strategies, the role of SENCO, and the relevant school policies.&nbsp; We learned about the structure and the structure of these schools.&nbsp;</span></p>",
"{""contentId"":""56bf5d24-cfc5-4e5d-8639-df959d5b1508"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal;""><span style=""letter-spacing:normal""><span style=""font-size:20px"">is an umbrella term that describes the spectrum of the ways the human brain works and these differences are to be valued.</span></span></span></blockquote>","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal""><span style=""letter-spacing:normal""><span style=""font-size:20px"">是一個總括術語，描述了人類大腦工作方式的範圍，並且這些分別值得重視。</span></span></span></blockquote>"
"{""contentId"":""56f4e8ea-e5b7-457b-8400-96017fc9c137"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;"">At the individual level, empowering neurodivergent is essential, as it enables them to leverage their unique strengths and perspectives.&nbsp; However, their personal growth and self-actualization can be significantly hindered by restrictive social norms, institutional barriers, and policy shortcomings.&nbsp; Without addressing these broader systematic issues, the potential and positive impact at the individual level may remain limited.&nbsp;</span></p>

<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;""><span class=""wixGuard"">​</span></span></p>

<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;""><span class=""wixGuard"">​</span></span></p>

<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;""><span class=""wixGuard"">​</span></span></p>

<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;""><span class=""wixGuard"">​</span></span></p>","<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;"">在個人層面上，賦予神經分歧者權力至關重要，因為這使他們能夠利用自己獨特的優勢和觀點。然而，他們的個人成長和自我實現可能會受到限制性社會規範、制度障礙和政策缺陷的嚴重阻礙。如果不解決這些更廣泛的系統性問題，個人層面的潛在和正面影響可能仍然有限。 </span></p>

<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;""><span class=""wixGuard"">​</span></span></p>

<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;""><span class=""wixGuard"">​</span></span></p>

<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;""><span class=""wixGuard"">​</span></span></p>

<p class=""font_8"" style=""font-size:18px; text-align:center""><span style=""color:#FFFFFF;""><span class=""wixGuard"">​</span></span></p>"
"{""contentId"":""595f9838-1dab-4cdf-838a-a06bed04644c"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_a80a03895bd14a4386db8a071c7dfe34~mv2.png","8a7c18_392d4f5441d94d88b9b6500c7c9f5121~mv2.jpg"
"{""contentId"":""595f9838-1dab-4cdf-838a-a06bed04644c"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""595f9838-1dab-4cdf-838a-a06bed04644c"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""595f9838-1dab-4cdf-838a-a06bed04644c"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Screenshot 2024-06-08 at 2.59.36 PM.png","截圖 2024-06-08 2.59.36 PM.png"
"{""contentId"":""5a27350e-2e6d-4c7e-a2af-3b6ba07123b8"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","11062b_760efaee2e08420fab0e64c0c5e1fd14~mv2.jpg","11062b_befb90527c6b48689a58722f4a0cb12a~mv2_d_5121_3414_s_4_2.jpg"
"{""contentId"":""5a27350e-2e6d-4c7e-a2af-3b6ba07123b8"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""5a27350e-2e6d-4c7e-a2af-3b6ba07123b8"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""5a27350e-2e6d-4c7e-a2af-3b6ba07123b8"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Charity Volunteers ","慈善志工 "
"{""contentId"":""5a40783c-c612-4bcf-aa96-373ed341d486"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_952fe62dbf3e49e2975c9424e2df541e~mv2.jpg","8a7c18_392d4f5441d94d88b9b6500c7c9f5121~mv2.jpg"
"{""contentId"":""5a40783c-c612-4bcf-aa96-373ed341d486"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""5a40783c-c612-4bcf-aa96-373ed341d486"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""5a40783c-c612-4bcf-aa96-373ed341d486"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","PHOTO-2023-08-21-20-09-52.jpg","照片-2023-08-21-20-09-52.jpg"
"{""contentId"":""5a9cd8e8-ff96-4684-a688-7b0d0120ce4e"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h2 class=""font_2"" style=""font-size:20px; text-align:center""><span class=""color_11""><span style=""font-style:normal""><span style=""font-family:space grotesk,sans-serif""><span style=""font-size:32px""><span style=""font-weight:bold""><span style=""letter-spacing:normal"">Community Level</span></span></span></span></span></span></h2>","<h2 class=""font_2"" style=""font-size:20px; text-align:center""><span class=""color_11""><span style=""font-style:normal""><span style=""font-family:space grotesk,sans-serif""><span style=""font-size:32px""><span style=""font-weight:bold""><span style=""letter-spacing:normal"">社區層面</span></span></span></span></span></span></h2>"
"{""contentId"":""5af169f3-0cc8-434d-a04f-b1cb40e00510"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">Presentation at </span></p>

<p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">Catalyst Education Lab </span></p>","<p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">演示於</span></p><p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">催化劑教育實驗室</span></p>"
"{""contentId"":""5b1e5cf4-bc09-48e8-900c-513e86a4471e"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_8"" style=""font-size:18px; line-height:1.8em""><span style=""font-weight:bold;""><span style=""font-size:18px""><span style=""color:#FFFFFF"">The 2030 Agenda for Sustainable Development Goals (SDGs), also known as the Global Goals adopted by all United Nations members, are a universal call to action with the aim of &ldquo;peace and prosperity for people and the planet&rdquo;.&nbsp; Among these goals, the following are specific terms that are related to neurodiversity under different categories.&nbsp;</span></span></span></p>","<p class=""font_8"" style=""font-size:18px; line-height:1.8em""><span style=""font-weight:bold""><span style=""font-size:18px""><span style=""color:#FFFFFF"">2030年永續發展目標議程（SDGs），也稱為聯合國所有成員國通過的全球目標，是一項普遍的行動呼籲，旨在「實現人類和地球的和平與繁榮」。在這些目標中，以下是不同類別下與<a href=""https://www.facebook.com/hashtag/%E8%85%A6%E5%8A%9B%E5%A4%9A%E5%85%83%E5%8C%96?__eep__=6&amp;__cft__[0]=AZWD4e4ahAY30jKcpAZgHJ0XbZrQQFUlbQ1uSWcx8_WDgoV9H1GyzsThGwHEicgUVk7ZGOequCBcHH70XvFFRAoUPiSyEpQyqGzDjsTHRFSga-DBWvMKq88iaVfQpiTovOOe0yH5TW59Y8dHlgfqk5serDFaRjZ3GR3QGbKb5rNbkA&amp;__tn__=*NK-R"">腦力多元</a>性相關的具體術語。 </span></span></span></p>"
"{""contentId"":""5b9e51f6-d5fc-4d82-9d2a-0d5a7131103d"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h2 class=""font_0"" style=""font-size: 54px; line-height: normal; text-align: center;""><span style=""font-size:54px;""><span style=""color:#0F2C93""><span style=""font-weight:bold""><span style=""letter-spacing:normal"">SDG 4<br />
Quality Education</span></span></span></span></h2>","<h2 class=""font_0"" style=""font-size: 54px; line-height: normal; text-align: center;""><span style=""font-size:54px;""><span style=""color:#0F2C93""><span style=""font-weight:bold""><span style=""letter-spacing:normal"">永續發展目標4<br>素質教育</span></span></span></span></h2>"
"{""contentId"":""5c231796-b413-498d-b679-bbc752dd9e78"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_f694385206ee4f8190c6796af74db30b~mv2.png","1af91d_f694385206ee4f8190c6796af74db30b~mv2.png"
"{""contentId"":""5c231796-b413-498d-b679-bbc752dd9e78"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Screenshot 2024-06-09 at 11.06.49 AM.png","截圖 2024-06-09 11.06.49 AM.png"
"{""contentId"":""5c231796-b413-498d-b679-bbc752dd9e78"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Screenshot 2024-06-09 at 11.26.50 AM.png","截圖 2024-06-09 11.26.50 AM.png"
"{""contentId"":""5ca67ea6-df61-46b6-be8a-a7b5dfa07de3"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h1 class=""font_0"" style=""font-size:45px; line-height:1.2em; text-align:center""><span class=""color_40""><span style=""font-size:45px""><span style=""font-weight:bold""><span style=""letter-spacing:normal"">What is Neurodiversity?</span></span></span></span></h1>","<h1 class=""font_0"" style=""font-size:45px; line-height:1.2em; text-align:center""><span class=""color_40""><span style=""font-size:45px""><span style=""font-weight:bold""><span style=""letter-spacing:normal"">什麼是神經多樣性？</span></span></span></span></h1>"
"{""contentId"":""5cec84c7-bdff-440f-9a9e-089b55b77c55"",""fieldId"":""compFeatures.stylableButton.data.label"",""sequencePath"":[]}","TEXT","wixui.StylableButton","General",
"{""contentId"":""5cfbc22e-7fd6-4524-969f-82b38f0c8f42"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_8"" style=""font-size: 16px; line-height: 1.8em; text-align: center;""><span style=""font-weight:bold""><span class=""color_36""><span style=""font-size:16px"">The effective policy serves as a powerful enabler, amplifying and coordinating the various initiatives and supports that exist in the above-mentioned layers.&nbsp; By establishing a strong regulatory framework, policies can bridge the hinges from different levels and catalyze synergistic relationships, which create the necessary conditions for these multi-level efforts to achieve collective impact.&nbsp; It can foster a virtuous cycle where individual empowerment, interpersonal support, institutional reforms, and community-driven initiatives reinforce and amplify one another.&nbsp; By aligning these collective efforts from various levels, policies can have a transformative potential in building a more equitable, accessible, and cohesive society for all.</span></span></span></p>","<p class=""font_8"" style=""font-size: 16px; line-height: 1.8em; text-align: center;""><span style=""font-weight:bold""><span class=""color_36""><span style=""font-size:16px"">有效的政策是強大的推動者，放大和協調上述各層存在的各種措施和支持。透過建立強有力的監管框架，政策可以彌合不同層面的樞紐並促進協同關係，從而為這些多層面的努力實現集體影響創造必要的條件。它可以促進一種良性循環，在這種循環中，個人賦權、人際支持、機構改革和社區驅動的舉措相互加強和放大。透過協調各層面的集體努力，政策可以具有變革潛力，為所有人建立一個更公平、便利和有凝聚力的社會。</span></span></span></p>"
"{""contentId"":""5dd5c07c-df2e-4a67-98e8-a4760acb4ac7"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">Neurodiversity </span></p>

<p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">Celebration Week at YCA</span></p>","<p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">神經多樣性</span></p><p class=""font_5"" style=""font-size:20px""><span style=""font-size:20px"">YCA 慶祝週</span></p>"
"{""contentId"":""5f4dc26d-abc0-47a0-a926-14019d29ef60"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal;""><span style=""font-size:20px"">is a person whose neurological function is considered as different from that of the majority.</span></span></blockquote>","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal;""><span style=""font-size:20px"">是一個神經功能被認為與大多數人不同的人。</span></span></blockquote>"
"{""contentId"":""6055e38c-97ce-4047-bc5f-46eb4001aec5"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">Presentation in Heep Hong 50th Anniversary</span></p>","<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">協康會五十週年紀念演講</span></p>"
"{""contentId"":""61c890e9-d7d2-42c4-92aa-0aa58f2baa22"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h2 class=""font_0"" style=""font-size:45px; text-align:center""><span style=""font-size:45px""><span style=""color:#FFFFFF"">Our Activities</span></span></h2>","<h2 class=""font_0"" style=""font-size:45px; text-align:center""><span style=""font-size:45px""><span style=""color:#FFFFFF"">我們的活動</span></span></h2>"
"{""contentId"":""633ea8db-59b7-40fd-a8aa-271420a9976a"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_bae9ed46fffb4671b695ac576638cc4e~mv2.png","1af91d_bae9ed46fffb4671b695ac576638cc4e~mv2.png"
"{""contentId"":""633ea8db-59b7-40fd-a8aa-271420a9976a"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Screenshot 2024-06-09 at 11.06.39 AM.png","截圖 2024-06-09 11.06.39 AM.png"
"{""contentId"":""633ea8db-59b7-40fd-a8aa-271420a9976a"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""6353a706-a5e0-4317-8b4b-e6e6f9b7a306"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h1 class=""font_0"" style=""font-size:40px; line-height:1.2em""><span style=""color:#3D9BE9;""><span style=""font-size:40px""><span style=""font-weight:bold"">Connect. Collaborate. Cultivate.</span></span></span></h1>","<h1 class=""font_0"" style=""font-size:40px; line-height:1.2em""><span style=""color:#3D9BE9;""><span style=""font-size:40px""><span style=""font-weight:bold"">連接。合作。培育。</span></span></span></h1>"
